Genes,Phos Site No,Domain No,Protein Mass,Transcript Length,Gene Length,Exon No,CDS Length,Isoform No,Amino Acid Length,target
ALDH5A1,15,1,57215,3071.0,42355.0,7.2,1597.1,3,530.0,Expanded Positives
RPSA,21,2,32854,936.75,5826.0,4.222222222222221,778.125,4,243.5,Expanded Positives
NEUROG3,3,1,23077,1376.0,1540.0,2.0,645.0,1,214.0,Expanded Positives
CACNA1C,28,4,248977,6185.814814814815,730150.0,35.967741935483865,6290.786690975388,54,1855.5925925925928,Expanded Positives
CATSPERD,1,1,90468,2556.0,58097.0,12.0,2397.0,1,798.0,Expanded Positives
BRWD1,88,2,262936,6028.333333333332,137383.0,16.25,4152.50622406639,11,902.2727272727273,Expanded Positives
PKM,68,2,57937,1591.0,32793.0,6.36,1190.4191176470588,16,340.1875,Expanded Positives
MAST1,38,3,170677,2038.75,41001.0,8.333333333333334,2954.6415094339623,4,652.75,Expanded Positives
ATL1,9,1,63544,1293.6666666666667,100559.0,5.7,998.0,8,189.75,Expanded Positives
AKAP6,28,1,256720,3686.75,508386.0,5.133333333333334,3605.078431372549,8,661.625,Expanded Positives
NDRG3,23,1,41409,2340.0,94324.0,13.6,1016.9558823529413,5,318.6,Expanded Positives
NDUFA4,4,1,9370,2035.0,8210.0,2.833333333333333,246.0,1,81.0,Expanded Positives
TRIM26,6,4,62166,1901.5925925925928,28961.295566502467,5.8,1237.32,54,335.2962962962963,Expanded Positives
SLC4A10,13,2,125946,4735.6,560950.0,16.583333333333332,2959.8461538461543,6,989.0,Expanded Positives
KAT6B,44,4,231378,4215.148148148148,207697.0,10.46341463414634,3791.5621621621617,62,936.8709677419356,Expanded Positives
KIF3C,19,1,89426,4261.0,56151.0,6.571428571428571,2205.342857142857,4,735.75,Expanded Positives
DHX9,56,5,140958,4493.0,48635.0,8.0,3813.0,1,1270.0,Expanded Positives
SRPK2,21,1,77527,1932.571428571429,288604.0,7.466666666666668,1394.4712643678158,9,353.33333333333326,Expanded Positives
CSE1L,25,3,110417,3504.5,50714.0,18.33333333333333,2833.714285714286,2,943.0,Expanded Positives
CSMD3,16,2,406000,12332.0,1214011.0,29.9,10503.615671641792,4,3472.25,Expanded Positives
FBXL17,8,2,75695,4382.5,523063.0,7.166666666666668,1362.7714285714285,4,445.25,Expanded Positives
BTF3,14,1,22168,756.5,7227.0,4.333333333333333,460.6315789473685,4,140.75,Expanded Positives
RAB8A,16,1,23668,1941.0,22345.0,4.714285714285714,624.0,2,207.0,Expanded Positives
ALDOA,41,1,39420,1109.0,6293.0,6.315789473684211,928.959595959596,15,296.93333333333334,Expanded Positives
CDH16,7,1,89923,2113.8571428571427,10795.0,14.222222222222221,1792.3671875,9,521.3333333333334,Expanded Positives
SYT13,11,1,46885,2861.0,46039.0,6.0,577.8888888888888,3,210.66666666666663,Expanded Positives
MAGEE1,9,1,103254,3630.0,3629.0,1.0,2874.0,1,957.0,Expanded Positives
HSD11B1L,6,1,34288,1374.9333333333334,7919.0,6.086956521739131,587.0,19,179.578947368421,Expanded Positives
RPL31,14,1,14463,957.2,21803.0,4.0,342.79545454545456,11,109.9090909090909,Expanded Positives
USP11,28,4,109817,2183.5,15638.0,8.5,2130.844827586207,4,518.0,Expanded Positives
FKBP3,13,2,25177,1491.5,19720.0,6.0,538.7142857142857,3,171.0,Expanded Positives
XRCC5,36,4,82705,2581.6666666666665,98839.0,9.0,1840.037037037037,4,403.5,Expanded Positives
NFKBIA,11,2,35609,1176.75,3238.0,4.0,638.28,5,193.6,Expanded Positives
SOX2,9,2,34310,2512.0,2511.0,1.0,954.0,1,317.0,Expanded Positives
PIK3CB,21,5,122762,2340.625,182239.0,10.857142857142858,1644.9481481481482,11,385.8181818181818,Expanded Positives
CACYBP,18,3,26210,1480.4,12552.0,3.888888888888889,500.125,5,145.6,Expanded Positives
DNAJA2,10,3,45746,2446.5,18312.0,6.0,639.0454545454545,3,197.66666666666663,Expanded Positives
CLIC1,16,2,26923,1247.2,9183.0,7.0,726.0,35,241.0,Expanded Positives
FRMD5,19,4,65065,2888.857142857143,324510.0,11.0,1005.0714285714287,10,319.6,Expanded Positives
BCAR1,56,4,93372,1875.4117647058827,39875.0,4.363636363636363,1903.2048192771085,36,442.5555555555555,Expanded Positives
DSTYK,7,2,105206,5597.0,69197.0,10.333333333333334,2302.2580645161293,3,664.0,Expanded Positives
RPL10A,7,1,24831,718.0,2384.0,5.4,654.0,1,217.0,Expanded Positives
EIF3F,11,2,37564,3829.25,31611.0,4.666666666666667,803.6896551724138,10,212.4,Expanded Positives
EHBP1,69,3,140017,1912.333333333333,372636.0,8.5,2648.350746268657,12,488.75,Expanded Positives
TMEM25,2,1,39285,1406.466666666667,16239.0,5.1,768.8952380952381,17,220.64705882352942,Expanded Positives
GNB2,11,1,37331,1255.9,5607.0,7.615384615384616,841.1666666666665,10,272.7,Expanded Positives
FBXL2,2,2,47062,3320.0,126637.0,9.333333333333334,482.4272727272728,8,154.625,Expanded Positives
LRRC4C,9,3,71950,2579.6666666666665,1345570.0,3.8571428571428568,1688.2173913043478,6,540.1666666666666,Expanded Positives
SYBU,25,1,72388,1823.34375,117813.0,5.342105263157895,1321.6560846560847,33,367.6060606060606,Expanded Positives
USP7,18,4,128302,2113.714285714286,72417.0,10.809523809523812,1674.050505050505,12,362.0,Expanded Positives
LRFN2,13,3,84731,3270.0,195879.0,3.0,2370.0,1,789.0,Expanded Positives
SRRM2,694,1,299615,2242.6666666666665,19912.0,4.580645161290323,2649.345679012345,11,548.7272727272727,Expanded Positives
GRIK1,7,3,103981,3255.4285714285716,403100.0,15.75,2747.2627118644073,7,914.2857142857144,Expanded Positives
NUP93,47,1,93488,1803.625,120168.0,7.523809523809524,1560.5384615384617,16,287.1875,Expanded Positives
GPR52,1,1,41354,1472.0,1471.0,1.0,1086.0,1,361.0,Expanded Positives
KPNA2,27,3,57862,1390.75,11146.0,5.857142857142858,1096.5277777777776,5,277.0,Expanded Positives
DACH2,4,1,65323,2614.5,684153.0,11.25,1258.4666666666667,8,409.125,Expanded Positives
PRKCZ,13,4,67660,948.625,134984.0,7.269230769230768,756.3076923076923,18,165.61111111111111,Expanded Positives
RAB14,12,1,23897,2430.0,44881.0,8.5,593.4705882352941,2,198.0,Expanded Positives
CPLX2,2,1,15394,1534.333333333333,87711.0,4.0,277.0810810810811,9,91.33333333333331,Expanded Positives
PPP2CA,10,1,35594,1892.333333333333,31741.0,3.5,666.4285714285714,3,193.33333333333331,Expanded Positives
GSK3A,29,1,50981,2858.5,12435.0,9.0,1377.4545454545455,3,455.66666666666674,Expanded Positives
AP2A1,25,3,107546,3337.0,40145.0,11.25,2031.3623188405802,3,663.0,Expanded Positives
NIPSNAP1,14,1,33310,1190.6666666666667,26529.0,6.333333333333332,556.4545454545455,4,177.0,Expanded Positives
ALDOC,21,1,39456,1056.875,3833.0,6.0,783.1764705882354,8,228.125,Expanded Positives
LIN7B,2,2,22896,565.0,4136.0,4.285714285714286,462.15,4,147.75,Expanded Positives
CBX6,12,2,43898,4656.5,10864.0,4.666666666666667,1212.0,2,403.0,Expanded Positives
RPL35,6,1,14551,428.33333333333326,4101.0,3.8333333333333335,309.0,4,102.75,Expanded Positives
SLC9A6,11,1,74162,4018.083333333334,73428.0,13.3125,1763.966666666667,12,524.8333333333334,Expanded Positives
LGI3,1,3,61704,2339.333333333333,10254.0,6.8,1099.607142857143,4,351.0,Expanded Positives
TUBB,59,2,49671,2752.28125,5206.25,4.0,1213.5,32,403.5,Expanded Positives
MAP1LC3A,2,1,14272,874.3333333333335,13491.0,4.25,370.28571428571433,3,122.33333333333331,Expanded Positives
PTK2,69,4,119233,1755.3939393939395,344316.0,9.649122807017543,1904.2738589211615,41,316.9268292682927,Expanded Positives
MYPOP,9,1,42508,1896.0,12590.0,3.0,1200.0,1,399.0,Expanded Positives
LIMCH1,144,3,121867,4019.5882352941176,340437.0,16.318181818181817,2866.3293768546,17,794.4705882352941,Expanded Positives
SRSF1,43,1,27745,2586.25,6427.0,3.555555555555556,523.3214285714286,7,169.14285714285714,Expanded Positives
SVIL,119,2,247746,6351.25,279443.0,12.307692307692307,5693.244274809162,4,1786.75,Expanded Positives
PCDHGA3,12,4,100971,3733.0,169150.0,3.333333333333333,1530.6,3,622.6666666666666,Expanded Positives
TUBB4A,51,2,49586,721.8181818181819,8529.0,4.076923076923077,444.7924528301888,13,148.23076923076925,Expanded Positives
ELMO1,25,3,83829,1643.6363636363635,594888.0,7.894736842105262,1415.0901639344265,12,302.5,Expanded Positives
ALYREF,17,2,26888,1088.0,3742.0,4.0,795.0,1,264.0,Expanded Positives
RAB4B,6,1,23587,974.6666666666665,18726.0,6.0,561.9310344827586,4,184.75,Expanded Positives
RNF6,16,1,78091,3400.0,90199.0,4.428571428571429,2058.0,3,685.0,Expanded Positives
ATP6V1C1,3,1,43942,3558.0,51988.0,9.666666666666666,1043.3877551020407,4,344.5,Expanded Positives
SND1,56,2,101997,2071.5,440415.0,5.6875,2325.4,2,570.5,Expanded Positives
PRDX1,19,2,22110,837.8,12011.0,5.0,511.48148148148147,5,167.4,Expanded Positives
GABRG1,3,2,53595,6758.0,88285.0,9.0,1398.0,1,465.0,Expanded Positives
UCHL5,4,2,37607,1467.0,47830.0,8.384615384615385,860.4433962264151,12,255.0,Expanded Positives
OMG,5,3,49608,1775.0,25526.0,2.0,1323.0,1,440.0,Expanded Positives
TTC1,15,2,33526,1138.6666666666667,56430.0,6.2,786.8571428571429,3,249.0,Expanded Positives
CELSR2,17,8,317453,11015.0,26212.0,12.75,8772.0,1,2923.0,Expanded Positives
NOTCH3,15,9,243631,4365.666666666667,41957.0,11.5,5030.828125,4,975.25,Expanded Positives
KIF13B,60,6,202789,4258.333333333333,195846.0,16.166666666666668,2883.86170212766,5,620.2,Expanded Positives
RIMKLA,6,1,42864,5720.5,43440.0,5.0,733.5,2,244.0,Expanded Positives
GRB2,11,2,25206,2230.75,87633.0,4.416666666666667,542.2888888888889,9,169.77777777777774,Expanded Positives
UNC79,13,1,295326,8253.8,374657.0,41.833333333333336,7689.886639676113,10,2560.8,Expanded Positives
RIMS4,5,1,29329,3119.5,58530.0,6.0,811.5,2,269.5,Expanded Positives
CCDC88A,68,1,216042,5006.206896551725,132053.0,13.470588235294118,3455.725626740947,40,849.55,Expanded Positives
RPS4X,17,5,29598,1474.0,21569.0,4.4,792.0,1,263.0,Expanded Positives
ST3GAL3,7,1,42171,1643.1627906976746,225341.0,8.717647058823529,714.9011627906976,74,215.20270270270268,Expanded Positives
EMD,50,1,28994,1172.5,2326.0,4.333333333333333,487.4117647058823,3,164.66666666666666,Expanded Positives
RAB39B,3,1,24622,3413.0,6256.0,2.0,642.0,1,213.0,Expanded Positives
MAPK10,13,1,52585,2667.844827586207,604618.0,10.651041666666666,940.0334246575343,151,277.71523178807945,Expanded Positives
PTPRN2,23,3,111271,2406.6666666666665,992052.5663716814,11.3,2610.1651376146788,9,537.7777777777778,Expanded Positives
CTTN,96,3,61586,2430.0,38180.0,7.2666666666666675,1510.3636363636365,5,418.0,Expanded Positives
TTN,999,6,3816030,43105.8125,304813.0,118.35294117647058,90860.75423728813,16,14214.5,Expanded Positives
BDNF,5,1,27818,4081.2941176470586,67165.0,2.263157894736842,715.609756097561,18,243.38888888888889,Expanded Positives
FAM98A,13,1,55273,1943.0,15722.0,4.375,1143.3529411764705,3,299.3333333333333,Expanded Positives
AKTIP,8,1,33128,1077.3333333333333,13371.0,5.5,662.4918032786885,9,176.88888888888889,Expanded Positives
BRI3BP,2,1,27836,6703.0,37586.0,3.0,756.0,1,251.0,Expanded Positives
STAU2,26,2,62608,2044.1764705882354,327339.0,7.724137931034483,1190.1017964071855,18,346.5555555555556,Expanded Positives
SNAP23,17,1,23354,814.6923076923077,54123.0,5.260869565217392,345.16,17,112.23529411764706,Expanded Positives
BRSK1,26,1,85087,1962.2,30461.0,10.0,1695.2739726027398,6,430.33333333333326,Expanded Positives
NRXN3,22,3,69305,3798.916666666666,1697917.0,9.277777777777779,3200.968503937008,12,738.5,Expanded Positives
SPOCK1,8,3,49124,2584.0,623081.0,5.2727272727272725,920.0,4,255.5,Expanded Positives
MLLT11,7,1,10061,4075.0,10739.0,2.0,273.0,1,90.0,Expanded Positives
POLR2A,128,8,217176,5478.0,29917.109589041094,12.166666666666664,5582.578125,3,1502.0,Expanded Positives
DMTN,54,2,45514,1669.8,33532.0,10.26086956521739,995.4009009009008,20,275.5,Expanded Positives
GRIN2C,11,4,134209,3600.0,19481.0,7.6,3183.6,2,1053.0,Expanded Positives
G3BP2,21,2,54121,1367.3846153846155,81743.0,5.526315789473684,763.5909090909091,14,179.85714285714286,Expanded Positives
LRRC4,7,2,72717,1441.0,5036.0,2.5,570.4,4,218.75,Expanded Positives
USP5,26,4,95786,2234.0,14504.0,10.428571428571429,2305.6666666666665,3,610.0,Expanded Positives
CDH1,23,3,97456,3525.6,98249.0,10.071428571428571,2028.9181818181821,8,625.75,Expanded Positives
SPTBN5,22,2,416750,11699.0,45907.0,35.0,11025.0,1,3674.0,Expanded Positives
ZNF534,18,2,77167,1539.8,23128.0,4.0,1132.05,5,374.2,Expanded Positives
NDRG4,10,1,38459,1201.0882352941173,50782.0,7.363636363636362,674.4525993883793,39,172.82051282051282,Expanded Positives
BZW2,11,1,48162,1299.3,60392.0,9.5,811.4666666666667,12,261.5833333333333,Expanded Positives
EZR,37,4,69413,3017.666666666666,53627.0,12.0,1761.0,3,586.0,Expanded Positives
GRN,7,1,63544,871.6,7860.0,5.6818181818181825,816.7809523809523,16,215.75,Expanded Positives
CAMK1G,1,1,53087,2241.25,30225.0,10.6,1231.0,3,399.0,Expanded Positives
CABP1,3,1,39838,1413.5,26772.0,5.4,800.64,4,267.5,Expanded Positives
OLFM3,2,2,54930,2748.333333333333,194456.0,6.166666666666668,1079.0,3,358.66666666666674,Expanded Positives
SF3B4,7,1,44386,1185.0,4486.0,4.5,1040.3333333333333,2,307.0,Expanded Positives
NEDD8,7,1,9072,634.5,15510.0,3.5,186.8181818181818,6,60.33333333333334,Expanded Positives
RPS15,6,1,17040,554.4166666666666,2136.0,3.8461538461538463,338.38297872340434,12,112.41666666666669,Expanded Positives
ATF2,29,1,54537,2323.5454545454545,96132.0,11.285714285714285,973.2331838565024,18,303.72222222222223,Expanded Positives
MPP1,26,4,52296,1173.2857142857142,42323.0,6.111111111111112,848.35,9,248.66666666666663,Expanded Positives
