,genes
142,GTF2IRD1
143,PARVB
144,ZFP14
145,SKA1
146,CXADR
147,HSPE1
148,NALCN
149,FGF12
150,MITF
151,C1GALT1
152,RABEPK
153,SLC26A8
154,TIPARP
155,PPM1K
156,S100A14
157,NCOR1
158,BTBD1
159,PRKAA1
160,GP5
161,IL4R
162,GCC1
163,TEF
164,OXER1
165,ANKZF1
166,ADRA1B
167,DMTF1
168,PRR14
169,SOX2
170,HSPA14
171,PARP16
172,CEP350
173,MDM4
174,GSAP
175,MTR
176,TNIP3
177,TWIST2
178,FMN1
179,TRMT61A
180,PEF1
181,C8G
182,CDK6
183,PEAK1
184,RBM27
185,NECAB1
186,NPY2R
187,EARS2
188,FOXK1
189,HEY1
190,TPTE2
191,DDI2
192,IL1R2
193,LZTR1
194,KRT27
195,SNX13
196,OTUD4
197,NBPF3
198,MAG
199,CASP8
200,KCTD7
201,RUFY1
202,DCP2
203,GFI1
204,PNP
205,CEBPZ
206,DHX37
207,FRK
208,PXMP2
209,KNDC1
210,DMPK
211,WDR5
212,MTTP
213,MAT2B
214,ITIH2
215,EPB41L4A
216,SUZ12
217,SLC27A3
218,NUP93
219,MICU3
220,BCL11B
221,LONRF1
222,PPIG
223,SERPINB10
224,RGPD3
225,OAZ3
226,TNFRSF4
227,GTF2H1
228,GPLD1
229,RHOV
230,VWCE
231,AFP
232,SAPCD2
233,RTEL1
234,MALSU1
235,ZNF513
236,ZNF140
237,ZNF436
238,HSD3B1
239,CA13
240,MACROD2
241,MAN2C1
242,CNNM2
243,PRRC1
244,PPP2R5C
245,LRRC32
246,PSPH
247,MRPS31
248,SLC35F6
249,EIF3M
250,SLC26A1
251,DMGDH
252,TEX10
253,PAPOLB
254,IPO9
255,NFYA
256,BNIP1
257,RNF26
258,CD2AP
259,PPP1R26
260,SAV1
261,NEB
262,BBS5
263,B4GALT5
264,COPZ1
265,HERC4
266,UBQLN4
267,FUT2
268,DCAF6
269,SPO11
270,SLC11A2
271,CAST
272,KCNQ2
273,MOV10
274,CDC42EP2
275,ELF4
276,ITGA9
277,FOXJ1
278,PPM1F
279,ZNF646
280,ELOF1
281,MYO9B
282,BCOR
283,VAMP8
284,KRT9
285,POLR3F
286,TESK2
287,LEPR
288,ENPP4
289,TBC1D10C
290,RASA4
291,AXL
292,RFPL3
293,RIOK3
294,AKR1D1
295,CREB1
296,YTHDF2
297,LIN28B
298,SELE
299,CES1
300,SERPINA10
301,SASH3
302,RICTOR
303,CD34
304,HLA-DRB1
305,USP22
306,S1PR5
307,ACTL7B
308,PNPLA8
309,NUP43
310,HSD11B2
311,RPAP3
312,PTGDR2
313,ZFP69B
314,MRPL55
315,MYADM
316,TNFAIP8L3
317,PDSS1
318,ELL2
319,INTS1
320,FNDC5
321,JRKL
322,ZNF699
323,GTPBP3
324,NPC1L1
325,RCCD1
326,ETS1
327,SEMG1
328,TBL1XR1
329,NEMF
330,AADAT
331,LSG1
332,EMC8
333,HMGN5
334,TGM5
335,ELOVL4
336,ZIM3
337,ERGIC3
338,SLC16A8
339,CANT1
340,CCNH
341,HDX
342,ZNF98
343,CA3
344,LOX
345,CSE1L
346,BCL9
347,RBM15
348,WDR62
349,FECH
350,EIF6
351,NDRG3
352,ZNF77
353,DCX
354,TBX1
355,TDRKH
356,SNIP1
357,C2CD5
358,IDE
359,ZNF233
360,HUS1B
361,NARF
362,TMIGD2
363,PRMT1
364,TENM3
365,COX18
366,ISY1
367,MNAT1
368,EHHADH
369,PTH1R
370,IL18
371,HRC
372,ACOT6
373,FEN1
374,ASB1
375,FRY
376,KRTCAP2
377,PPP2R5A
378,CIR1
379,SERPINB3
380,FERMT2
381,ZNF567
382,PRKCQ
383,NADK
384,MBD1
385,MGAT2
386,TPR
387,RAPGEF5
388,HCN4
389,ETV2
390,CXCL12
391,NOC3L
392,ADCYAP1R1
393,DLL1
394,SNRPD2
395,DDX24
396,PPP2R3A
397,RHOBTB2
398,FUCA2
399,SLCO2A1
400,ATG2B
401,GORAB
402,TADA3
403,NUCB2
404,FAM91A1
405,NAPEPLD
406,ELMO2
407,KHDRBS3
408,TGOLN2
409,PCDH7
410,MRPL47
411,GRK7
412,NOL11
413,BACH2
414,SNRNP70
415,TP53INP2
416,SLC22A4
417,PSIP1
418,DOK3
419,CDK5RAP1
420,RBMY1E
421,ZFR2
422,TRAF6
423,FBXO38
424,BORA
425,VWDE
426,CCM2
427,ZNF628
428,COL4A4
429,MTMR7
430,HERC2
431,RAB9A
432,SLC39A6
433,PRTG
434,CAPN13
435,CENPN
436,RPS6KA6
437,RHBDL2
438,MTSS1
439,SLC43A1
440,OCA2
441,CORIN
442,ST6GALNAC2
443,GPATCH2
444,DEF6
445,KCTD20
446,ST8SIA3
447,TRMT1
448,BAK1
449,RGS11
450,CD93
451,PCDHB8
452,SURF2
453,ZNF311
454,TMTC2
455,ARHGEF25
456,FAM3C
457,MAPK8
458,DERL2
459,EML2
460,PHLDA2
461,TOPBP1
462,CDC20
463,MRPS9
464,ZNF530
465,PCDHGA8
466,CLPP
467,SPR
468,TIMM9
469,TVP23B
470,NCAPD3
471,RTN2
472,ZFAND2B
473,DUSP9
474,RUNDC3A
475,TNFSF10
476,MGST1
477,CRYGB
478,HOXC4
479,TIAL1
480,LIG1
481,DOK6
482,HMMR
483,CLDN4
484,NSUN4
485,MYCL
486,SERPINA4
487,IL6ST
488,PSMD13
489,CA12
490,PKN2
491,ZNF277
492,NDUFAF4
493,USP16
494,NFAT5
495,ZNF324B
496,CHSY3
497,RGPD2
498,RBM28
499,CHPF2
500,FAM214B
501,EML6
502,NCAPD2
503,MANF
504,ANKRD27
505,HVCN1
506,TIA1
507,ZXDB
508,PCK1
509,SULT2A1
510,RNF123
511,REPS1
512,TDRD1
513,SAMD1
514,NUP133
515,MAP3K13
516,RNF19B
517,CYP8B1
518,TRIP13
519,NUP88
520,RTP4
521,ADAM12
522,MOAP1
523,CEACAM7
524,GCK
525,LSM14A
526,ASH1L
527,LAPTM5
528,FBXO15
529,ZNF790
530,MRPS15
531,VANGL2
532,MRPS16
533,SPTLC2
534,EVA1A
535,RBX1
536,HNRNPA1L2
537,GSDMB
538,MAGI1
539,SLC27A2
540,FAM76B
541,RRP9
542,ETV1
543,ESF1
544,PARD3B
545,XPA
546,IFIT3
547,CIZ1
548,TK1
549,BIN3
550,CSNK1G2
551,ERF
552,GPR183
553,IFIH1
554,LPCAT2
555,ABCD1
556,IDH3B
557,MIS18A
558,UNG
559,NFKBIL1
560,ARNTL
561,ALPI
562,PPL
563,KCNK5
564,TAF6
565,ZFP42
566,TMED6
567,NUDT6
568,CLASRP
569,ZEB2
570,NDUFAB1
571,EXOSC5
572,RMI1
573,HBEGF
574,P4HTM
575,RPL35A
576,SEMA6A
577,ZMAT4
578,PHF11
579,LIMK1
580,WDR4
581,ADA
582,RPS6KA3
583,HIVEP3
584,MGAT5B
585,RAE1
586,PISD
587,CTSC
588,GPR101
589,KLF1
590,SWT1
591,VWA5A
592,MED12L
593,GTPBP6
594,PEX14
595,CLDN23
596,PARP4
597,LATS2
598,DBF4
599,ZNF582
600,SLC19A3
601,TEAD2
602,CSNK1G1
603,MTM1
604,TRPV6
605,BRIP1
606,PSAP
607,FOXO4
608,SUV39H2
609,PRKD3
610,FAM53A
611,BNC1
612,ZNF354C
613,CLEC18A
614,TNFAIP2
615,EIF4E1B
616,ZDHHC6
617,WDR20
618,RPL26L1
619,KLK7
620,PRRC2C
621,LTF
622,ZNF750
623,TNFRSF8
624,UNC80
625,ATAD3C
626,LGALS3BP
627,GZF1
628,SH2B2
629,MORC2
630,GPR148
631,SERPINC1
632,PLEKHO1
633,MRFAP1
634,SERPINF2
635,PAPOLG
636,SH3PXD2B
637,SLC14A2
638,WWP2
639,PEAR1
640,DUSP6
641,CPB2
642,COQ5
643,HSPB6
644,HNF4A
645,ZNF148
646,AQP9
647,CD300LG
648,IREB2
649,EIF2S2
650,NPC2
651,GGN
652,CD1B
653,PLS3
654,NES
655,DESI1
656,VRK1
657,NFATC2IP
658,RSPH9
659,KIF6
660,MAP2K4
661,DEPDC1B
662,LAS1L
663,S100A5
664,PEX6
665,DSN1
666,ZSCAN1
667,SLCO2B1
668,DPYS
669,GCG
670,ZNF124
671,ASCL2
672,NLRP12
673,IDI1
674,ZBTB11
675,TAPBPL
676,IRF9
677,USP48
678,IFITM3
679,INPP5E
680,MAVS
681,CYTH4
682,RPA1
683,STAG2
684,EYA2
685,WNK4
686,ZXDC
687,ZDHHC23
688,SLC4A5
689,SESN1
690,KRT84
691,DNAJB11
692,ZNF512
693,SRPK3
694,FBXW9
695,ARHGEF39
696,RALGAPA2
697,BBC3
698,LIPC
699,SURF4
700,SPANXD
701,GCNT3
702,GREM1
703,RNF13
704,WDR46
705,ECI2
706,PNRC1
707,CNOT3
708,NOXO1
709,SYNE4
710,PSMC6
711,TNFRSF10A
712,PGAM4
713,IFIT5
714,LTB4R
715,ZSCAN29
716,ZNF524
717,SSX1
718,HMGXB3
719,CNBP
720,OCM
721,CTDNEP1
722,PIGN
723,TCEA1
724,PNPLA2
725,CAPNS1
726,SSX2IP
727,NFATC1
728,TYW3
729,XYLB
730,AKAP8
731,CD2BP2
732,SLC35A2
733,CIAO1
734,RHOBTB3
735,NSD1
736,STAC3
737,POLDIP2
738,RNF5
739,SUMO3
740,PRKX
741,DNA2
742,KANK1
743,NDN
744,WDR74
745,MED10
746,NACC1
747,PGLYRP1
748,TSPAN15
749,DDX20
750,ZNF556
751,YTHDF1
752,CLEC4M
753,PRR5
754,MREG
755,CHD1
756,MON1B
757,SMAD5
758,CTNNBL1
759,AHRR
760,ACSM3
761,SNURF
762,TDO2
763,SUPT3H
764,TSHZ3
765,CCR1
766,CDC42EP1
767,ENOSF1
768,TIMM8A
769,ZNF687
770,FOXO3
771,GTF2A2
772,SPRR2A
773,PMS2
774,ATRX
775,SLC48A1
776,JAK3
777,INTS9
778,PPP1R16B
779,HS1BP3
780,BIN2
781,VPS36
782,RPL3L
783,CA5A
784,FGFR4
785,MATN3
786,KRT222
787,TES
788,EPC2
789,CELSR2
790,ZFYVE19
791,SMARCB1
792,ETNK2
793,TMEM259
794,SPIN1
795,ZNF417
796,MUC1
797,TMEM192
798,PCDH10
799,SLC25A38
800,CLPX
801,ORC2
802,COL24A1
803,GPRC5A
804,SOAT2
805,SEC61B
806,MOCS3
807,OXA1L
808,PSMG2
809,LACTB2
810,FIZ1
811,ZFP30
812,MS4A1
813,SERINC1
814,RCAN1
815,SOX8
816,KRT78
817,ARGLU1
818,GBP5
819,CWC27
820,FBXL14
821,TMSB10
822,MAN2B1
823,SMG9
824,LYST
825,ASB2
826,F2
827,CCDC88C
828,PTMA
829,LRRK1
830,GRSF1
831,DYRK2
832,PLCE1
833,BRD8
834,CHMP5
835,B4GALNT3
836,ANKRD11
837,ZNF862
838,YME1L1
839,RIPPLY2
840,VKORC1
841,BOLA1
842,FAM83H
843,PLIN2
844,TLE4
845,TONSL
846,COL15A1
847,CREB3L4
848,RET
849,IMPA2
850,GIMAP8
851,TGFB2
852,ADAM17
853,CARHSP1
854,RNF34
855,UBA5
856,NFATC2
857,UBN2
858,SOX30
859,PARP3
860,NOTCH3
861,EXOSC7
862,TCEA2
863,ABCA2
864,ACOT8
865,SNRPF
866,PHACTR4
867,MAPKAPK2
868,KRI1
869,HIRIP3
870,CCNB2
871,INVS
872,NOVA1
873,KCNG1
874,POLR3E
875,SLC2A6
876,ZNF596
877,AMPD1
878,PFKFB4
879,RBMX
880,SELP
881,COL8A1
882,NOP16
883,GPR152
884,TRMT44
885,MALT1
886,XKR4
887,NFS1
888,CD70
889,AUNIP
890,SIRT1
891,PCDHA10
892,MYO15A
893,FRMD4A
894,CSTF2T
895,RPGR
896,APOC2
897,UBE4B
898,FLVCR2
899,RASA1
900,LCE1A
901,ZNF668
902,TUBD1
903,MTG1
904,FDXACB1
905,CTSE
906,GSC2
907,VASH2
908,EXOSC9
909,MAPKAPK3
910,RGPD4
911,TNFRSF11A
912,SPAG16
913,URB2
914,HOXA1
915,SLC16A14
916,MMP9
917,ZFP90
918,SQLE
919,SLC38A5
920,XAB2
921,FOXP1
922,RFPL1
923,LCA5
924,FBXO4
925,RBMS3
926,THG1L
927,CNNM3
928,HOXA3
929,GCC2
930,RBPJL
931,KLF2
932,ADM
933,ZNF624
934,ZNF248
935,RAVER1
936,FIGNL1
937,UROS
938,TRIM27
939,BEST3
940,PDXDC1
941,CRTC3
942,TRAPPC2L
943,ALPK1
944,CCND3
945,SSR2
946,POPDC2
947,SYVN1
948,SAMHD1
949,SCO1
950,ORAI2
951,TBL1Y
952,NIT1
953,TBC1D5
954,GFM2
955,CYP21A2
956,CD276
957,ZNF212
958,EDEM1
959,SNRK
960,ZMYND11
961,SCAF11
962,MRPS2
963,GPR3
964,CSRP2
965,CCNI
966,SENP3
967,GLRX5
968,SRMS
969,AKTIP
970,LAX1
971,ASAP3
972,DNAH2
973,RNF113B
974,KLF3
975,CNKSR3
976,ITGAD
977,PSMB10
978,USP9X
979,FUT8
980,RCOR2
981,ZNF585A
982,AKAP4
983,GYS2
984,HEG1
985,BRF2
986,AATK
987,BFSP2
988,CTBS
989,MYO5B
990,STK36
991,RAB34
992,PCDHB12
993,PTBP1
994,GOLGA7
995,ZNF12
996,ZNF420
997,RSPH3
998,HIC1
999,AADAC
1000,SLC35E1
1001,FOXQ1
1002,RABL6
1003,LRCH3
1004,STK40
1005,WEE1
1006,SLC10A7
1007,TAX1BP3
1008,NHLRC1
1009,INCENP
1010,ANKRD49
1011,ELP5
1012,TBC1D22A
1013,NT5C
1014,TMEM201
1015,TMEM41B
1016,COBL
1017,ANKRD13C
1018,GLI1
1019,AP1S2
1020,MAN1A1
1021,ZNF836
1022,SECISBP2
1023,ZNF578
1024,CHN2
1025,ZNF384
1026,APOB
1027,ZNF358
1028,DDR2
1029,CTDSPL2
1030,KRT8
1031,GMPR2
1032,OSBPL10
1033,NDST2
1034,CDC42BPG
1035,MCC
1036,RELN
1037,LTN1
1038,ZNF823
1039,RPS6KB2
1040,QKI
1041,RNPC3
1042,DHTKD1
1043,BICD1
1044,SPIDR
1045,NLRP9
1046,ZNF775
1047,MED23
1048,DSEL
1049,NCOR2
1050,TAGLN
1051,SKIL
1052,GTF3C3
1053,SSBP3
1054,HTATIP2
1055,DNAJC17
1056,NKAPL
1057,DENND2D
1058,OSBPL11
1059,KRT40
1060,MVB12A
1061,TMEM8B
1062,PEMT
1063,LIN9
1064,TGFBI
1065,RHOC
1066,CDK17
1067,GGCX
1068,SH3BGRL
1069,VRK2
1070,FRG1
1071,TBC1D8B
1072,DHX33
1073,SERF2
1074,FAR1
1075,KANK2
1076,NRBF2
1077,RAB3IL1
1078,BPTF
1079,AGBL5
1080,RPL22L1
1081,GIMAP2
1082,GATA4
1083,TRDN
1084,CD6
1085,PCDHAC1
1086,THOC5
1087,ULK1
1088,SUN2
1089,EIF1AX
1090,KRT76
1091,APOBEC3B
1092,HMGB1
1093,CLINT1
1094,SOCS1
1095,MAU2
1096,GSPT2
1097,FOXO1
1098,RRP36
1099,ZNF528
1100,REEP1
1101,LYL1
1102,MAFK
1103,ITGB6
1104,RAD51
1105,HMGCS2
1106,USP20
1107,GALR2
1108,IRX5
1109,RITA1
1110,MOB1B
1111,ZNF33B
1112,DEPDC1
1113,ZNF438
1114,PLEKHB1
1115,MCM7
1116,HES6
1117,SNX25
1118,TP53
1119,RNF4
1120,PFDN5
1121,KRT13
1122,FADD
1123,ARHGAP29
1124,PAF1
1125,MAN1C1
1126,ZFP37
1127,ING3
1128,NACA
1129,ZNF35
1130,PYCR2
1131,TCERG1L
1132,SEC16B
1133,UBE2S
1134,TUSC3
1135,DCAF17
1136,SLAIN1
1137,GID8
1138,PJA1
1139,IQGAP3
1140,MPP1
1141,OR51B4
1142,IRAK2
1143,PELO
1144,LPAR6
1145,TFCP2L1
1146,RHBDF2
1147,MEF2D
1148,CCNT1
1149,AKAP6
1150,DCAF15
1151,YIF1B
1152,BCAT2
1153,SPICE1
1154,STEAP3
1155,UVRAG
1156,GPR151
1157,TRIP12
1158,PSD4
1159,EIF2AK1
1160,HOXA9
1161,ERCC6L
1162,RNF135
1163,GSTM4
1164,KMT2B
1165,PTPRK
1166,KRR1
1167,ARG1
1168,TRMT112
1169,C2CD4C
1170,PDIA2
1171,YTHDC1
1172,RAI1
1173,TMEM109
1174,NEURL4
1175,MYC
1176,LAIR1
1177,MAFB
1178,ARIH2
1179,CD3D
1180,ZNF227
1181,FIP1L1
1182,TRPM5
1183,GPR119
1184,AFF1
1185,TGM4
1186,CHD1L
1187,ITPKC
1188,C2CD2
1189,SLC13A4
1190,SETD6
1191,PIAS1
1192,LETMD1
1193,ASMTL
1194,CLDN8
1195,REEP3
1196,SCNN1B
1197,SH2B1
1198,CALR3
1199,KDM4C
1200,GAL3ST2
1201,MRPL10
1202,CHM
1203,HUWE1
1204,TNNC2
1205,LARP7
1206,MVB12B
1207,CYP24A1
1208,KLHDC2
1209,SIX1
1210,MORC4
1211,TRMT10B
1212,HSD17B2
1213,ATL3
1214,ZC3H6
1215,TUBA3E
1216,RARG
1217,FRA10AC1
1218,RELL2
1219,SYNE2
1220,BOC
1221,STAM
1222,FBXO3
1223,PCDHGA12
1224,NARS2
1225,DENND1B
1226,SH3RF2
1227,ITGAM
1228,LHX8
1229,CKS2
1230,ERCC5
1231,ACVR2A
1232,PTPDC1
1233,EN2
1234,ELF2
1235,AGA
1236,TCF12
1237,CDNF
1238,ZNF251
1239,ENPP3
1240,ULK3
1241,BZW1
1242,PRDM11
1243,TGM3
1244,PRMT3
1245,LTV1
1246,ATF3
1247,CDK10
1248,CDK20
1249,CENPL
1250,PPWD1
1251,CACTIN
1252,CLCA2
1253,KIF13B
1254,GRAMD1B
1255,PNKP
1256,SERPINB12
1257,OSBPL5
1258,CDHR3
1259,PFAS
1260,XPNPEP1
1261,CENPA
1262,SLC23A1
1263,LPCAT1
1264,DCLRE1C
1265,RALBP1
1266,CDK2AP1
1267,USP11
1268,SPIN2A
1269,CBY1
1270,PLK4
1271,ZNF44
1272,ZNF597
1273,ARSG
1274,KLHL4
1275,OCM2
1276,NAALADL2
1277,RBM7
1278,ZBTB43
1279,MBOAT2
1280,AP4E1
1281,OR5A1
1282,RGN
1283,PCSK5
1284,RPRD2
1285,TMEM175
1286,CATSPERD
1287,FCRL3
1288,NCL
1289,PRRC2A
1290,WDR82
1291,SULT2B1
1292,MRPL21
1293,SCARB2
1294,TOX2
1295,MRPL1
1296,ZNF671
1297,RASGRP3
1298,OTUD7A
1299,RHBDL1
1300,NOMO3
1301,SEC61A1
1302,RAB40AL
1303,TRPV2
1304,TSFM
1305,FMO5
1306,LNPEP
1307,MEIS2
1308,SNTG2
1309,HEATR3
1310,CC2D1B
1311,MAFF
1312,OR7G3
1313,DNAJC21
1314,RND3
1315,FAT3
1316,RNF14
1317,STK19
1318,ANPEP
1319,FOXF1
1320,ZNF586
1321,KCNN4
1322,DNAJC12
1323,LOXL2
1324,ZNFX1
1325,DCDC2
1326,MC2R
1327,BICC1
1328,SPTY2D1
1329,DENND4A
1330,CCZ1
1331,ZNF564
1332,MYO3A
1333,POLDIP3
1334,SGK3
1335,ERH
1336,PDE4DIP
1337,POC1B
1338,JMJD4
1339,ALOX15
1340,SCAF8
1341,CD28
1342,CHST15
1343,HABP4
1344,LBX2
1345,MLLT1
1346,JAKMIP1
1347,CIB1
1348,CD163
1349,SDE2
1350,KLC3
1351,MTF1
1352,USP43
1353,SCNN1G
1354,DIS3
1355,PRIM1
1356,BAMBI
1357,ZNF446
1358,EBF2
1359,ZC3H15
1360,SLC35B2
1361,PHKG1
1362,USF1
1363,ESPNL
1364,MRPS10
1365,DOT1L
1366,ARHGAP5
1367,GRPEL1
1368,ARG2
1369,OR10H3
1370,YBX2
1371,DET1
1372,ETHE1
1373,PRPF3
1374,LGR5
1375,ETFA
1376,AIMP2
1377,PRCC
1378,GTF3C4
1379,RELT
1380,MYOM2
1381,BRPF1
1382,DDX3Y
1383,MPHOSPH10
1384,TMEM115
1385,DENND4C
1386,MAGI3
1387,ZSWIM1
1388,ZNF334
1389,PRMT9
1390,RPS6KL1
1391,TRIM7
1392,PRDM5
1393,IHH
1394,ZNF675
1395,SUB1
1396,ANP32B
1397,PARM1
1398,MAPK4
1399,NFATC4
1400,SNRPE
1401,RRP1B
1402,PTGIS
1403,GALE
1404,N4BP2L2
1405,PLD3
1406,TRHR
1407,IL18R1
1408,ANKRD12
1409,SP140
1410,SALL3
1411,ABCA6
1412,PLEKHF2
1413,DICER1
1414,EPHA6
1415,CCHCR1
1416,KIF21B
1417,SMURF2
1418,ZNF581
1419,CHEK1
1420,SEMA4G
1421,ZNF285
1422,AKAP8L
1423,ORMDL1
1424,ZDHHC15
1425,GBP1
1426,TGFBR3
1427,FIG4
1428,NQO1
1429,RP2
1430,SGTB
1431,CD5
1432,PHF10
1433,KCNH2
1434,TRHDE
1435,PLOD3
1436,NBEAL2
1437,LTBP2
1438,RECQL
1439,MLANA
1440,PXK
1441,DDX39A
1442,CDK4
1443,RPL36AL
1444,RTBDN
1445,NDUFB5
1446,TCEAL5
1447,PLGRKT
1448,SARS2
1449,GIMAP4
1450,UBE2D4
1451,PEX26
1452,ZNF260
1453,ZNF19
1454,ATG101
1455,TSPYL2
1456,PTPRB
1457,KCTD2
1458,SERPINA1
1459,EEFSEC
1460,NKIRAS2
1461,MYOCD
1462,STK25
1463,ATP13A4
1464,CRB2
1465,GLP2R
1466,ZNF235
1467,PSMD7
1468,RPL13A
1469,UBIAD1
1470,HNRNPH3
1471,GLB1L
1472,F9
1473,KIT
1474,OIT3
1475,DVL3
1476,MGMT
1477,ICAM2
1478,TNNI3
1479,GPT
1480,EXOSC6
1481,PKIB
1482,FGFR1
1483,AMIGO2
1484,OR6B1
1485,SBNO2
1486,ACAA2
1487,FOXR1
1488,IRX6
1489,B4GALT2
1490,ZNF180
1491,SNRPD3
1492,MRPL23
1493,CYP2J2
1494,WDR75
1495,ZFP3
1496,MGST2
1497,L3MBTL1
1498,SLC41A2
1499,DNAAF1
1500,IRF1
1501,DUSP8
1502,TAF9B
1503,HAUS3
1504,RAD21L1
1505,GSTA5
1506,TAF4B
1507,PGM3
1508,ZBTB4
1509,PAX4
1510,MRPS27
1511,CENPF
1512,TCF4
1513,ACTR6
1514,HOXD11
1515,PIGR
1516,CBL
1517,USP18
1518,ZNF215
1519,LAMB1
1520,KLRF1
1521,WAC
1522,PKHD1
1523,SLC16A7
1524,UBE2M
1525,IGDCC4
1526,ZNF514
1527,INO80
1528,HAUS2
1529,LEFTY2
1530,OCRL
1531,TTF1
1532,ZNF549
1533,TBC1D8
1534,CENPO
1535,UCHL5
1536,MUC16
1537,DHX35
1538,IRF3
1539,CD69
1540,POLD1
1541,AXIN1
1542,FBXO24
1543,NR1H3
1544,L3MBTL2
1545,PLA2G15
1546,NNMT
1547,TPBG
1548,ENKUR
1549,RELL1
1550,RBM26
1551,DYRK1B
1552,PYCARD
1553,MAP3K2
1554,FASTK
1555,HLA-E
1556,UST
1557,SUMO2
1558,GTF2H3
1559,QRFPR
1560,UBXN4
1561,IL17RC
1562,SGMS1
1563,FAM193B
1564,IL17RD
1565,NAP1L5
1566,MRPL19
1567,RAB11FIP4
1568,PFDN2
1569,ZP4
1570,HERC1
1571,PCDHGA7
1572,STK17B
1573,REV1
1574,TRO
1575,MARVELD2
1576,STAMBPL1
1577,MSL2
1578,ZNF558
1579,PHF21A
1580,MRPL24
1581,PANK4
1582,CAPN3
1583,NDUFB7
1584,STARD10
1585,TLR6
1586,PHF23
1587,UBE2V1
1588,LUM
1589,GMDS
1590,LBR
1591,KLHL1
1592,RABGAP1
1593,CD274
1594,ACP6
1595,GORASP2
1596,ARMCX3
1597,ITIH4
1598,IGF1R
1599,WDR13
1600,TNK1
1601,RPS6KA2
1602,ROBO4
1603,XPC
1604,RFX2
1605,DEPDC5
1606,ST13
1607,ZNF330
1608,FAM13B
1609,NSMCE1
1610,ACSF3
1611,POGLUT1
1612,TMEM100
1613,SPCS1
1614,CLN6
1615,BRD3
1616,AS3MT
1617,PRRG1
1618,ZNF721
1619,PLEKHM1
1620,SGSM2
1621,CA9
1622,P2RY13
1623,ZFAND2A
1624,FAM83A
1625,IL16
1626,AHCYL2
1627,EMC4
1628,ECT2
1629,N4BP3
1630,TCEAL1
1631,ARFGEF1
1632,ARPC1B
1633,MFN1
1634,WWTR1
1635,HS3ST3B1
1636,HNRNPU
1637,ZFP1
1638,MAP2K6
1639,PCDHA1
1640,CDCA2
1641,IRX1
1642,RRN3
1643,TBX18
1644,PLVAP
1645,ASGR2
1646,PIWIL3
1647,AASS
1648,TRAF2
1649,ITGA4
1650,DACT3
1651,UBE2B
1652,PDIA5
1653,MCPH1
1654,TRAM1L1
1655,FAM126B
1656,XPR1
1657,CASQ1
1658,TXNDC16
1659,ASXL1
1660,IFT140
1661,COLGALT1
1662,ALDH8A1
1663,ANKS4B
1664,POLR2A
1665,TRPA1
1666,ABCB7
1667,SF3A1
1668,MFGE8
1669,LPAR3
1670,LYRM1
1671,URI1
1672,LHX9
1673,PTMS
1674,SLAIN2
1675,RORA
1676,MAD1L1
1677,MRPS18B
1678,IFT52
1679,TICAM1
1680,ARID2
1681,SCYL2
1682,BCL2L11
1683,HAAO
1684,PAM16
1685,TMEM59
1686,NFRKB
1687,CYP4X1
1688,GTF3C2
1689,EIF3G
1690,FAM114A1
1691,FREM2
